id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8080,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,4e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
81,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,0.000255,0,0,1.0,-1,-1,0,4,160,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,0.000235,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,120,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
23,0,0.0,1e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,120,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,4e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
2323,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8080,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,1e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,1e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,0.000231,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
81,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,3.134258,0,0,1.0,-1,-1,0,6,360,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8080,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,0.000228,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
81,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,3e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,60,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,1e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
23,0,0.0,6e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,4e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
80,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
8081,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
80,0,0.0,5e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
23,0,0.0,3.105967,0,0,1.0,-1,-1,0,6,360,0,0,1,1
52869,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
8081,0,0.0,2e-06,0,0,1.0,-1,-1,0,2,80,0,0,1,1
22,0,0.0,-1.0,-1,-1,1.0,-1,-1,0,1,40,0,0,1,1
